name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature
Dale Tu Kolin,Flaites NY,Pablo Chill-E,40n3urD4QnPkPi7kSlk7kx,2020-05-01,59,207333,0.907,0.276,0.544,0.0030600000000000002,0.307,0.374,-7.315,0.287,132.017,8,4
Funeral,Funeral,Cami,1ueLYdeuGMAwUiaezLDObD,2020-01-18,59,221400,0.725,0.45899999999999996,0.6409999999999999,0.0,0.215,0.5770000000000001,-5.06,0.26899999999999996,95.01,9,4
Timidez (feat. Natalia Lafourcade),Timidez (feat. Natalia Lafourcade),Gepe,3Riytw4egMe357gWrANdAr,2020-02-28,57,214186,0.799,0.8540000000000001,0.36200000000000004,0.000359,0.154,0.591,-12.82,0.0374,119.991,11,4
Aquí Estoy,Monstruo,Cami,465cCQFJkrfroDREqB7sej,2020-03-06,55,154013,0.637,0.165,0.865,0.0,0.23199999999999998,0.816,-2.861,0.248,171.90400000000002,6,4
Me Atrapa,KUN,DrefQuila,2TnkEU0979HuAtOXD1kI9H,2020-04-20,55,172500,0.8290000000000001,0.7440000000000001,0.382,0.0,0.109,0.53,-10.964,0.3720000000000001,130.01,10,4
Ya No Se Trata De Ti,La Fortaleza,Francisca Valenzuela,4Qk19LdSLuuEDjzR8j2gcV,2020-01-17,55,199746,0.765,0.596,0.442,1.46e-06,0.115,0.369,-7.0870000000000015,0.0319,100.046,7,4
Funeral,Monstruo,Cami,3Z29hEsyAkenPustX0cPmo,2020-03-06,55,221400,0.693,0.47700000000000004,0.6409999999999999,0.0,0.14800000000000002,0.601,-5.039,0.251,95.229,9,4
"Por Qué Me Fui A Enamorar de Ti - En Vivo, Desde El Lunario del Auditorio Nacional","Sola Con Mis Monstruos (En Vivo, Desde El Lunario del Auditorio Nacional)",Mon Laferte,0mqasl5sulqcKTBLJxdZnB,2020-01-31,55,273693,0.46399999999999997,0.8170000000000001,0.38,9.42e-05,0.706,0.315,-7.487999999999999,0.0447,81.363,4,4
Hagamoslo Pero Bien Argentino,Hagamoslo Pero Bien Argentino,Migrantes,3FyqGRGfrSbiXEh4KBNxmE,2020-04-21,53,147408,0.7190000000000001,0.231,0.647,7.84e-06,0.081,0.698,-4.721,0.11800000000000001,144.122,8,3
Mi Culpa,Mi Culpa,Princesa Alba,6US3sBxFujqlBEgeuzPZt6,2020-01-03,53,160696,0.8270000000000001,0.429,0.5720000000000001,0.0117,0.114,0.66,-5.745,0.0835,103.006,0,4
