name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature
Tu Falta De Querer,Mon Laferte (Vol. 1),Mon Laferte,4skuEIloXWuxxgekKupkEH,2015-08-21,73,278546,0.39399999999999996,0.0251,0.475,0.007490000000000002,0.11199999999999999,0.441,-7.935,0.027999999999999997,129.995,10,3
Amárrame,La Trenza,Mon Laferte,3EK4tGkSiO5xvvB5sM4tln,2017-04-28,71,207333,0.563,0.247,0.674,0.0022600000000000003,0.107,0.784,-4.553999999999999,0.048,179.977,5,4
Mami,Mami,Paloma Mami,64IRsSyqwD0CBbFAfrR0rT,2019-12-10,67,194526,0.8,0.153,0.7170000000000001,0.00464,0.166,0.513,-6.354,0.0518,95.01799999999999,3,4
No Te Enamores,No Te Enamores,Paloma Mami,0EJu1RBtxzldMG2peczuPv,2018-12-21,67,183398,0.8059999999999999,0.5870000000000001,0.735,0.00889,0.0812,0.353,-4.459,0.0425,100.101,7,4
Not Steady,Not Steady,Paloma Mami,42ArfZUgGo3k5btIHp08it,2018-09-21,65,190784,0.8759999999999999,0.207,0.444,0.0008269999999999999,0.105,0.33899999999999997,-10.904000000000002,0.303,92.01100000000001,8,4
Plata Ta Tá,Plata Ta Tá,Mon Laferte,0937IXPkSlckRCq1WoHSEl,2019-11-15,63,255506,0.813,0.156,0.7959999999999999,0.0366,0.114,0.539,-5.545,0.163,95.02600000000001,4,4
A fuego,Trend,DrefQuila,5gkSbR9E0jDgv65XeT5v5R,2018-01-02,63,233813,0.828,0.33799999999999997,0.35200000000000004,0.0,0.0981,0.349,-6.665,0.0602,115.93799999999999,7,4
Cicatrices (feat. Indara),Cicatrices (feat. Indara),Sergio Contreras,17nYNma8AncLFqOBk6tu6m,2019-05-24,63,173868,0.8190000000000001,0.0225,0.7020000000000001,0.000124,0.0893,0.937,-4.865,0.0554,137.023,6,4
Si Tú Me Quisieras,Mon Laferte (Vol. 1),Mon Laferte,7EySX8ldJHoeWjJhJyZ8Tq,2015-08-21,61,202333,0.317,0.45799999999999996,0.745,0.0,0.33799999999999997,0.621,-6.479,0.162,209.795,5,4
Vibras,S.U.N.O,Pablo Chill-E,3CV6tcIs0tqW3aJtu6THaM,2018-08-03,61,154991,0.755,0.8109999999999999,0.634,0.0,0.0852,0.8340000000000001,-5.928999999999999,0.298,173.845,9,4
Damelo,Utopia,Ceaese,6OPl2rRpNsW1BZmtrSxP6X,2018-08-16,61,164819,0.687,0.0914,0.754,0.0,0.106,0.41600000000000004,-4.103,0.0831,166.15599999999995,0,4
El Derecho de Vivir en Paz,El Derecho de Vivir en Paz,Various Artists,2xuYcmQW7sFoVHygnyP2k1,2019-12-13,60,227444,0.462,0.49700000000000005,0.449,1.4400000000000001e-05,0.0862,0.348,-7.0120000000000005,0.0262,151.891,11,3
