name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature
Ahora No Pasa Nada,Los Mejores,Los Paulos,4Ig2vVTuCszPcyyU2enpLF,1967-07-18,21,152866,0.56,0.9790000000000001,0.0573,0.00148,0.207,0.575,-22.131999999999998,0.0385,112.154,2,4
Camina Derechito,Antologia 1963-1975 / 52 Clásicos Remasterizados,The Ramblers,7jm4bOAVPF79wyyRKwVUeA,1963-01-01,21,116706,0.728,0.32299999999999995,0.775,0.0,0.133,0.968,-6.221,0.04,81.506,10,4
Somebody To Love,Psychedelic Drugstore - Remastered,Aguaturbia,44ixJpyPZYW5pgwgfTsSaR,1970-01-01,21,184163,0.45899999999999996,0.0152,0.851,0.45399999999999996,0.302,0.613,-7.117999999999999,0.0515,139.874,4,4
Piensa,Grande Es el Amor,Antonio Zabaleta,1sYIIHLyGLNNTks6mBVUt7,1972-10-14,21,189178,0.48700000000000004,0.861,0.239,0.23800000000000002,0.42200000000000004,0.706,-17.604,0.0272,101.35600000000001,9,4
Con Medio Peso,20 Grandes Exitos,Orquesta Huambaly,3KtkdVPIUA39MRoosGj5XG,1953-01-01,21,178226,0.7609999999999999,0.679,0.555,1.76e-05,0.332,0.965,-9.47,0.0696,114.432,5,4
Nada de tu amor,25 Exitos,Los Solitarios,2saOkS7G7vUh7cAezBgkXy,1967-03-26,21,173506,0.40399999999999997,0.8029999999999999,0.40299999999999997,0.0,0.12300000000000001,0.26,-8.832,0.0279,76.711,9,4
Sufrir,25 Exitos,Los Solitarios,6CyFg5MG7KYA20IVzQOW7A,1967-03-26,21,186306,0.489,0.875,0.35700000000000004,0.0,0.0951,0.495,-9.202,0.0291,96.11200000000001,9,4
Sufrir,Serie Diamante (USA),Los Solitarios,0NQf2eturrj1quNPLELBGu,1976-03-31,21,186213,0.502,0.711,0.414,0.0,0.129,0.513,-6.829,0.0275,96.19,9,4
Hoy,25 Exitos,Los Solitarios,3eDwlSOV1zM6h2QUScPZxe,1967-03-26,21,154933,0.469,0.14400000000000002,0.46399999999999997,0.0,0.0923,0.721,-9.818999999999999,0.027999999999999997,89.97,4,4
Que O La Tumba Serás,El Volantin,Los Jaivas,4tduF5g8wEnU3JbOaymUKx,1971-01-01,21,200933,0.5670000000000001,0.298,0.6,0.0126,0.213,0.884,-8.595,0.0346,113.60700000000001,2,4
Debo Partir,Los Galos,Los Galos,5gcNH1i564rmjOEvRNEecM,1970-06-13,21,159753,0.354,0.065,0.569,0.0362,0.11599999999999999,0.331,-6.308,0.0272,90.821,8,4
Canción para los Pájaros,Canción del Sur,Los Jaivas,2zzg9kZeDPOv2QR7F4EE4C,1977-03-30,21,205680,0.474,0.0302,0.523,0.9159999999999999,0.263,0.44799999999999995,-10.949000000000002,0.0683,118.78299999999999,11,4
Que Esperas de Mi,Los Galos,Los Galos,5poRvH8mcL3b30JhK64XQI,1970-06-13,21,207438,0.21,0.0746,0.802,1.3e-06,0.071,0.508,-6.612,0.0567,174.028,2,4
Siempre Se Llego el Amor,Los Galos,Los Galos,3mdxLzsVeHxHKlSDR4IdkF,1970-06-13,21,156708,0.39299999999999996,0.0434,0.623,0.017,0.509,0.593,-8.296,0.0298,92.869,8,4
Corre Que Te Pillo,Todos Juntos,Los Jaivas,6Udeadsig76kECGJ3G6SPf,1972-01-01,19,274213,0.45,0.8420000000000001,0.555,0.695,0.131,0.754,-11.284,0.0657,107.568,9,3
Lejos De Ti,La Orq. De los Años Felices,The Ramblers,34TcIBD76Mr1CMHPfcb4MY,1963-01-01,19,147760,0.613,0.37799999999999995,0.449,0.0,0.0956,0.935,-11.048,0.0364,74.592,5,4
Vivir para Llorar,Antología. . . Los Solitarios,Los Solitarios,1ns6LHnGOIh2TiO1hZWzko,1976-03-04,19,164720,0.384,0.6779999999999999,0.331,0.322,0.385,0.402,-13.683,0.0311,90.82600000000001,2,4
Veinte Abriles,Antologia 1963-1975 / 52 Clásicos Remasterizados,The Ramblers,24fnh0wgKlZhQenckrhT5L,1963-01-01,19,162586,0.29,0.578,0.305,0.0,0.38799999999999996,0.401,-7.5829999999999975,0.0309,199.437,10,4
En Tus Horas,Canción del Sur,Los Jaivas,2wk1l01sm97MN024APeVt0,1977-03-30,19,223224,0.45399999999999996,0.631,0.519,0.0,0.239,0.42200000000000004,-12.793,0.0434,109.91799999999999,7,3
Jugando Al Amor - 2004 Remaster,Antologia 1963-1975 / 52 Clásicos Remasterizados,The Ramblers,6yFh10KmYBZvBhuzb9dzoR,1963-01-01,19,133573,0.517,0.728,0.863,0.0019199999999999998,0.263,0.7440000000000001,-6.343999999999999,0.166,165.535,5,4
Sueño del Inca,Canción del Sur,Los Jaivas,6lfHr0jDlqECiDk4Wt6wOZ,1977-03-30,19,222384,0.527,0.11,0.649,0.622,0.35100000000000003,0.799,-13.625,0.0449,122.395,0,4
Los Maldadosos,Terra Incógnita,Congreso,58Rp09cbJO9otGFzSc5lFx,1975-01-21,19,201266,0.45,0.855,0.396,0.0049700000000000005,0.0795,0.315,-16.186,0.151,100.868,2,4
Arroz Con Palito,20 Grandes Exitos,Orquesta Huambaly,6kYQX27Zma4YZeaw1PM0l0,1953-01-01,19,176066,0.726,0.691,0.6859999999999999,0.149,0.313,0.711,-8.162,0.0644,124.59200000000001,0,4
