name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature
Paramar,La Voz de los '80 (Edición 30 Años),Los Prisioneros,6YbjZUR8F5ewBI1kHaIA1G,1984-01-01,59,225764,0.555,0.149,0.648,1.32e-06,0.114,0.466,-7.684,0.0908,147.512,2,4
Por Qué No Se Van,Pateando Piedras,Los Prisioneros,0FRpkVdaghjib91eaXOA97,1986-01-01,57,181600,0.757,0.0267,0.7509999999999999,0.0016699999999999998,0.05,0.9540000000000001,-12.088,0.0487,151.267,0,4
Los Momentos,Eduardo Gatti,Eduardo Gatti,6WbKPKpe5KOTuFOJ9YEQQC,1982-01-01,55,192066,0.58,0.769,0.11900000000000001,0.00485,0.102,0.535,-22.644000000000002,0.0377,158.69299999999996,11,3
Sube a Nacer Conmigo Hermano,Alturas De Macchu Picchu,Los Jaivas,4fvBHLNI8Ssmzll6uXdaOr,1981-01-01,53,287386,0.602,0.465,0.7979999999999999,8.78e-05,0.11900000000000001,0.9279999999999999,-5.227,0.0465,109.92399999999999,3,4
Mambo de Machaguay,Aconcagua,Los Jaivas,7oapbuQr2xcofyvWsbmXTk,1982-01-01,51,293400,0.451,0.027999999999999997,0.836,5.5399999999999985e-05,0.0832,0.812,-9.336,0.0363,106.773,7,3
No Necesitamos Banderas,La Voz de los '80 (Edición 30 Años),Los Prisioneros,3J8UPLZhNFQi3o2qIvwLjY,1984-01-01,49,309081,0.6629999999999999,0.0297,0.636,0.0,0.111,0.632,-7.798999999999999,0.187,138.686,9,4
¿Quién Mató a Marilyn?,La Voz de los '80 (Edición 30 Años),Los Prisioneros,6aq0jKmaxLzS8o82abgSxR,1984-01-01,49,188119,0.54,0.235,0.9179999999999999,0.0,0.0337,0.805,-6.643,0.0851,174.81,9,4
Con una Pala y un Sombrero,Gervasio,Gervasio,1nfJhA7Ug7Tj5NTCq2mJId,1989-03-25,47,230773,0.405,0.628,0.41,1.75e-05,0.107,0.285,-11.561,0.0334,76.952,7,4
La Poderosa Muerte,Alturas De Macchu Picchu,Los Jaivas,2DBHJBFFUQF5RVsDbQH7lh,1981-01-01,47,672586,0.431,0.7090000000000001,0.493,0.00232,0.109,0.292,-9.104,0.0487,106.029,4,4
Mentalidad Televisiva,La Voz de los '80 (Edición 30 Años),Los Prisioneros,1OZndFlWMi0FkjGyIbV1DS,1984-01-01,45,256396,0.35700000000000004,0.0693,0.917,0.0,0.603,0.8340000000000001,-6.894,0.0579,190.00099999999998,7,4
Pa Pa Pa,La Cultura De La Basura,Los Prisioneros,3IDNQ9K0yuETDqfLdumk3H,1987-01-01,45,210826,0.818,0.249,0.826,0.0235,0.0864,0.961,-9.051,0.0358,158.817,7,4
En Todas las Esquinas,Para los Arqueologos del Futuro,Congreso,6r7phAWjhQ34OOBSASkUv6,1989-10-23,45,357893,0.63,0.106,0.617,0.00271,0.0704,0.636,-14.210999999999999,0.0621,124.305,9,4
Por Qué Los Ricos,Pateando Piedras,Los Prisioneros,0GvT2AUiVLteoFm11XgdjL,1986-01-01,45,296040,0.887,0.0322,0.584,2.88e-06,0.107,0.67,-12.109000000000002,0.106,102.89299999999999,10,4
Amor Americano,Alturas De Macchu Picchu,Los Jaivas,6zHN5mpkkggONw5nS9Q9aK,1981-01-01,43,326306,0.51,0.127,0.747,0.0007610000000000001,0.5579999999999999,0.907,-7.796,0.23,85.962,4,4
Un Ramito De Violetas,Lo Mejor De,Zalo Reyes,3ReS8UllETTWyA9JmWxysm,1983-01-01,43,235880,0.775,0.735,0.637,0.0,0.0914,0.733,-8.872,0.0349,137.153,6,4
Que No Destrocen Tu Vida,La Cultura De La Basura,Los Prisioneros,6QH6qOcHV20tncJtdvHb44,1987-01-01,43,252400,0.596,0.00896,0.8370000000000001,0.0134,0.122,0.63,-8.708,0.0347,116.64200000000001,0,4
Mi Prisionera,Lo Mejor De,Zalo Reyes,6Nd9BaGDYeTmrYlWzlKJVT,1983-01-01,43,170693,0.531,0.44,0.513,0.0,0.34,0.332,-9.957,0.0487,105.37299999999999,9,4
Quiero Paz,Eduardo Gatti,Eduardo Gatti,184oJZ08ENBkPQL2OojrgS,1982-01-01,41,281626,0.628,0.66,0.233,0.0008060000000000001,0.20800000000000002,0.312,-19.048,0.0414,128.91,8,4
Independencia Cultural,Pateando Piedras,Los Prisioneros,5KtFijRDUJIyIsqEp8xUnb,1986-01-01,39,272800,0.8370000000000001,0.0721,0.475,0.0012900000000000001,0.0412,0.805,-13.055,0.11,142.656,0,4
Estar Solo,Pateando Piedras,Los Prisioneros,3XzAKoTEjmVCZLi118Yfyu,1986-01-01,39,273973,0.7879999999999999,0.439,0.522,0.33899999999999997,0.11900000000000001,0.971,-14.554,0.0384,122.712,1,4
Aguila Sideral,Alturas De Macchu Picchu,Los Jaivas,45NP6RjmHo3vrGxZUgQL6u,1981-01-01,39,321080,0.555,0.5710000000000001,0.429,0.00851,0.11800000000000001,0.39299999999999996,-10.787,0.0357,100.296,9,3
Corre Que Te Pillo,Aconcagua,Los Jaivas,5VlHKjwd7juH9FXR5n2m8H,1982-01-01,37,587026,0.433,0.0368,0.813,0.7120000000000001,0.0992,0.81,-10.195,0.0418,102.064,7,3
Una Lágrima En La Garganta,Lo Mejor De,Zalo Reyes,5jPVqRW813grITz6cyDIC1,1983-01-01,37,212266,0.835,0.126,0.563,1.12e-05,0.213,0.9059999999999999,-9.214,0.0325,111.56700000000001,2,4
Aconcagua,Aconcagua,Los Jaivas,524smyzuSAMrRnQUfer3Mw,1982-01-01,37,217706,0.625,0.159,0.777,0.000188,0.11800000000000001,0.7170000000000001,-10.964,0.0405,140.83700000000005,0,4
