name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature
El Duelo,Invisible,La Ley,3XHg42QOqlevRU7jXRkAKk,1995-07-21,63,194573,0.55,0.0568,0.848,0.0141,0.322,0.547,-6.4220000000000015,0.045,107.069,4,4
Tren Al Sur,Corazones,Los Prisioneros,6W1BLmVBxkqZwFQcORQLnv,1990-09-08,63,336933,0.675,0.00565,0.67,0.00673,0.0805,0.726,-7.218,0.0514,90.23,9,4
Mágico,Toque,Joe Vasconcellos,5xjomARNn4eeQ9yXVTIXBJ,1995-01-01,57,187759,0.489,0.00336,0.62,0.0,0.12,0.488,-9.484,0.0539,95.587,7,4
Amiga Mía,Corazones,Los Prisioneros,0swl1tZWBEBOdRVPN6axXe,1990-09-08,57,242573,0.79,0.0208,0.622,0.00293,0.134,0.919,-8.19,0.0545,135.256,11,4
La Torre de Babel,Fome,Los Tres,3AxtYZk8bA3LHaJ1WfYgjj,1997-01-01,55,210653,0.773,0.0939,0.956,0.0010199999999999999,0.0687,0.6559999999999999,-4.163,0.114,120.095,9,4
Freebola,Glup! 1999,Glup!,1Qp77m1Ai0jnuD7ojdYzr9,1999-01-01,55,192626,0.535,0.0554,0.995,0.0,0.366,0.71,-3.83,0.2,133.023,4,4
Chica Eléctrica,Desde el Mundo de los Espejos,La Pozze Latina,0rHdsAq6qtSTdwJW4luqyW,1999-01-01,55,326573,0.741,0.0122,0.674,0.0,0.0374,0.919,-6.2810000000000015,0.11699999999999999,94.01799999999999,0,4
Estrechez De Corazón,Corazones,Los Prisioneros,3NJRgHeqBfHW8EI7ZYpg0z,1990-09-08,55,383573,0.659,0.00151,0.741,4.01e-06,0.15,0.45899999999999996,-8.08,0.034,130.27,11,4
Mira Niñita,Trilogía El Rencuentro,Los Jaivas,3WPzHY2FLXX3vWiwZ8B5i1,1997-01-01,53,387400,0.364,0.000736,0.701,0.0531,0.215,0.36,-11.89,0.0629,120.779,0,4
La Rosa De Los Vientos,Aerolineas Makiza,Makiza,3ItEUMz1CKL5CJxmnBAADO,1999-01-01,53,309453,0.657,0.23600000000000002,0.578,0.00746,0.212,0.8190000000000001,-6.682,0.13,89.948,3,4
Corazones Rojos,Corazones,Los Prisioneros,244nCwfi32MNrkALQi2qga,1990-09-08,53,211626,0.775,0.0015,0.507,3.31e-06,0.0677,0.752,-9.289,0.165,92.225,2,4
Mi Casa En El Árbol,Jorge Gonzalez,Jorge González,4SeRpWDWkDDbqNWAFCS5Ng,1993-01-01,51,259826,0.7090000000000001,0.0133,0.557,0.000212,0.075,0.537,-8.544,0.0281,127.03399999999999,0,4
Papi ¿Dónde Está El Funk?,La Medicina,Los Tetas,3QPXyIxIQaPejnwkaIlJCO,1997-01-01,51,352373,0.6459999999999999,0.33,0.6829999999999999,2.65e-05,0.624,0.6679999999999999,-8.517000000000001,0.27399999999999997,76.88600000000002,0,4
Sólo Por Esta Noche,Toque,Joe Vasconcellos,7GFm40mEZdXUnxm295nkZx,1995-01-01,51,220799,0.6990000000000001,0.0751,0.475,1.75e-05,0.265,0.8490000000000001,-11.05,0.027999999999999997,102.88799999999999,9,4
Con Suavidad,Corazones,Los Prisioneros,2PmoxtFwmuP8hnLCaV9wFW,1990-09-08,49,304666,0.579,0.00642,0.955,0.0098,0.135,0.885,-6.145,0.0387,116.258,9,4
Moizefala,La Espada & la Pared,Los Tres,1RawgF2MjsJpR7cRxvIaal,1995-01-01,47,276293,0.591,0.36200000000000004,0.415,3.48e-05,0.12,0.644,-9.827,0.0271,77.998,2,4
Macondo,Macondus,Sexual Democracia,32OuR1BddFnEBRQlH9hfLl,1999-01-01,47,178493,0.706,0.139,0.9129999999999999,0.0,0.319,0.9309999999999999,-6.181,0.115,112.93,8,4
Doble Opuesto,Doble Opuesto,La Ley,57gcHVTTVxY4LN84KpPDpf,1991-10-13,47,267306,0.655,0.0756,0.475,0.00137,0.0546,0.831,-15.665999999999999,0.0298,134.04399999999998,0,4
"Amor, Amor",Más Arriba,Pablo Herrera,1L9DuAKd6grgMN7Y5T1eV2,1992-01-04,47,253626,0.595,0.34,0.28300000000000003,0.0,0.0814,0.40299999999999997,-15.148,0.0322,122.786,9,4
La Corbata de Mi Tío,Caída Libre,Los Ex,3FPFhG6jDYBn3jp1Qcgped,1996-08-09,47,187266,0.537,0.0139,0.845,0.00033,0.285,0.6890000000000001,-6.1560000000000015,0.0466,146.88,5,4
Mi Prisionera,Canto Por Amor,Zalo Reyes,4JHZm3FLjDrEkmkMuOZVCx,1996-04-01,45,172906,0.539,0.5479999999999999,0.485,0.0,0.355,0.275,-10.562000000000001,0.0493,105.444,9,4
En Paro,Aerolineas Makiza,Makiza,32RmkzFIiN9XDtYLUFfiNU,1999-01-01,45,272800,0.7929999999999999,0.321,0.7290000000000001,0.0,0.18,0.654,-5.601,0.31,91.925,6,4
Amores Incompletos,Los Tres,Los Tres,6nrq4Ws5L9U8vl3aj7k7dh,1991-01-01,45,344986,0.263,0.18,0.43799999999999994,0.000234,0.1,0.315,-8.388,0.0286,177.34400000000005,9,3
Corazon Desilusionado,Hogar Dulce Hogar,Machuca,7tuACuijPSvfCR78bRY5Lh,1995-01-01,43,140400,0.508,0.00023700000000000001,0.888,0.0881,0.252,0.69,-9.135,0.0313,101.281,2,4
Un Ramito De Violetas,Canto Por Amor,Zalo Reyes,3exX0sgCdCHq91Emx4z2Fz,1996-04-01,43,237573,0.777,0.7140000000000001,0.6729999999999999,0.0,0.102,0.764,-8.294,0.0339,137.187,6,4
Profanador de Cunas,Buscando Chilenos Vol. 1,Sexual Democracia,6OpKpVgdxm3Hmn4F0sGfBu,1990-02-27,43,301133,0.775,0.0973,0.574,0.0,0.231,0.836,-12.065,0.0619,116.551,7,4
Noche En La Ciudad,Corazones,Los Prisioneros,7al2fp3n4GW18mPF4cHPUy,1990-09-08,43,370626,0.737,0.00143,0.794,0.00165,0.0627,0.9620000000000001,-8.338,0.0291,131.208,9,4
Toda la Noche,Supernova,Supernova,0lSktl6Mk5ZSYE0OKeL28i,1999-12-12,43,223974,0.6729999999999999,0.00298,0.831,0.0897,0.0683,0.555,-7.7070000000000025,0.0723,126.965,1,4
No Estar Aquí,Traga!,Fiskales Ad-Hok,52VZR0uCDHuiyLpkgA84d8,1995-01-01,41,179666,0.266,0.0027300000000000002,0.982,0.008759999999999999,0.0968,0.557,-6.5429999999999975,0.0779,165.896,7,4
Alto al Fuego,Alto al Fuego,Pablo Herrera,0reSK3ZiTjeyHWSc5itV9m,1994-01-04,41,209200,0.748,0.631,0.361,1.67e-06,0.126,0.28600000000000003,-11.231,0.0294,116.891,2,4
Flores Secas,Los Tres,Los Tres,2sE4aobjpv8gpFHKF5Wi7S,1991-01-01,41,325306,0.518,0.332,0.316,0.0106,0.0953,0.214,-11.265999999999998,0.0358,126.82600000000001,4,4
Noche,Sueños En Transito,Nicole,13a4y2gmdbd3yzPTLv2bSS,1997-01-01,41,148866,0.35100000000000003,0.124,0.408,1.58e-06,0.12300000000000001,0.193,-11.549000000000001,0.0307,172.99,7,3
Resistiré,Fiesta,Fiskales Ad-Hok,5wHu5Ht9C8tJ9L6HIxpb9c,1998-01-01,41,128573,0.325,4.0600000000000004e-05,0.9329999999999999,0.000489,0.377,0.8059999999999999,-6.5829999999999975,0.0504,78.66,5,4
La Espada y la Pared - Unplugged Version,Los Tres MTV Unplugged,Los Tres,00IIhlDMaW1BToCijMJ0CQ,1996-01-01,39,343400,0.465,0.133,0.522,0.0309,0.764,0.439,-13.036,0.0462,119.256,7,4
Tejedores De Ilusión,La Ley,La Ley,0racptnPmVaIViq9NQxsWC,1993-02-06,39,254666,0.635,0.00243,0.439,0.00185,0.0801,0.818,-16.581,0.028999999999999998,122.12700000000001,7,4
Sin Gamulan,Esperando Nada,Nicole,4MpKmfuTYgsmXBmefQvttZ,1994-01-01,39,224720,0.721,0.0242,0.5539999999999999,0.0011,0.22399999999999998,0.595,-11.413,0.0314,78.738,2,4
Animal,Invisible,La Ley,4VBxXS2B6MsTZyzE5Yd8DR,1995-07-21,39,362026,0.591,0.00985,0.552,0.0255,0.155,0.451,-7.327000000000001,0.0306,134.082,4,4
Eres Tan Distinta,Alto al Fuego,Pablo Herrera,1miejhzLyDUgY2Y0KzoPuq,1994-01-04,39,241933,0.693,0.6920000000000001,0.41,0.0,0.0669,0.465,-10.944,0.0287,119.874,9,4
Hay Un Limite,Aleste,Aleste,3zswqlBO4WgGAbSLvMpOn1,1993-06-25,39,234293,0.657,0.0156,0.725,0.0,0.316,0.899,-11.753,0.0316,126.89299999999999,0,4
El pueblo unido jamás será vencido,"El pueblo unido jamás será vencido (1973-1983) [Collection ""L'art de...""]",Quilapayún,7fSZa5OqnRnhJBdeRZlbjh,1990-01-01,39,208733,0.669,0.8109999999999999,0.502,0.0,0.136,0.782,-13.372,0.0402,93.47,7,4
Viajar,Viajar,Lucybell,5ewwL3ylpKGowCkDdTEbyB,1996-10-07,39,246520,0.555,0.0145,0.6409999999999999,1.29e-05,0.3670000000000001,0.244,-7.9110000000000005,0.0338,87.23200000000001,4,4
De Tu Ausencia,Que Cante La Vida,Alberto Plaza,0TuFa6EhE5iBY2QAIvEZh6,1999-01-01,39,206213,0.303,0.406,0.23399999999999999,9.96e-06,0.306,0.237,-13.16,0.03,79.527,7,4
Gato por Liebre - Unplugged Version,Los Tres MTV Unplugged,Los Tres,2zxrAQzjyNVhFR5G35WEHJ,1996-01-01,37,270173,0.726,0.122,0.4970000000000001,0.294,0.9890000000000001,0.8170000000000001,-13.162,0.0318,124.148,2,4
Sudapara,Los Tres,Los Tres,0bPWLVqlnn3ygaGsRF7YBe,1991-01-01,37,174053,0.53,0.252,0.831,0.00011100000000000001,0.306,0.385,-6.0429999999999975,0.0433,106.676,4,4
Un Amor Violento - Unplugged Version,Los Tres MTV Unplugged,Los Tres,0fpcZgaEpBevErIbYf8fLO,1996-01-01,37,283066,0.574,0.725,0.325,0.3720000000000001,0.7120000000000001,0.624,-15.039000000000001,0.0332,118.221,11,4
Una Lágrima En La Garganta,Canto Por Amor,Zalo Reyes,4KJM2D7Jix5BDkkXQd36AV,1996-04-01,37,214213,0.845,0.084,0.62,7.000000000000003e-06,0.0946,0.932,-8.987,0.0329,111.584,2,4
Valparaíso,Trilogía El Rencuentro,Los Jaivas,6EWQsCfyj0WgYPkd2Wz5kO,1997-01-01,37,239546,0.511,0.0169,0.423,0.0,0.278,0.547,-11.878,0.273,137.833,7,3
Pedro Navaja,Desde el Mundo de los Espejos,La Pozze Latina,1B2yB4PPY0yY4x2sH3U5x9,1999-01-01,37,269080,0.581,0.11,0.92,6.77e-06,0.37799999999999995,0.483,-7.386,0.3670000000000001,193.835,7,4
Verguenza Ajena,Palomita Blanca,Los Jaivas,0nwdpzkrKVKT5o3mUnamEq,1992-01-01,37,168493,0.862,0.73,0.433,0.000493,0.14,0.698,-8.56,0.0524,98.667,4,4
Vi,Vértigo,La Ley,2qSQTbWFfqiLqsmAZ929Kt,1998-02-17,37,254973,0.6659999999999999,0.000129,0.861,0.0435,0.045,0.28300000000000003,-6.072,0.034,122.98200000000001,10,4
Tu Eres Mia,Yo Voy Contigo,Pablo Herrera,3shg0qQOAkDh2LemAHmO6X,1998-01-01,35,244140,0.58,0.11900000000000001,0.534,0.0,0.0659,0.28600000000000003,-7.93,0.0294,156.007,7,4
Golpe De Suerte,Grandes Éxitos (Remastered),Luis Jara,0UE7tm9EWhgB2RwZhRdHVA,1999-05-30,35,267133,0.7140000000000001,0.21,0.763,1.84e-06,0.258,0.873,-7.099,0.0279,120.01899999999999,1,4
La Negra Ester,Los Tiempos de la Negra Ester,Roberto Parra,69ynvgYNN1zT8Nx1eoLXRO,1995-04-26,35,323480,0.655,0.8,0.419,0.838,0.11199999999999999,0.8809999999999999,-12.854000000000001,0.0504,102.95700000000001,7,4
La Chupaya 99,Aerolineas Makiza,Makiza,4V8tRUNvi64DF2BlaQ605C,1999-01-01,35,256079,0.852,0.371,0.659,0.0,0.0757,0.711,-6.0829999999999975,0.231,90.014,11,4
El Arrepentido - Unplugged Version,Los Tres MTV Unplugged,Los Tres,5vehS1Mn1elSbjNryzByoy,1996-01-01,35,153866,0.7140000000000001,0.166,0.596,0.00027400000000000005,0.726,0.625,-11.985999999999999,0.0822,125.491,9,3
Ayer,Similia Similibus,Los Santos Dumont,27mMu4IDObWXEZxbHky8Md,1999-08-13,35,267813,0.478,0.0146,0.799,1.61e-06,0.109,0.785,-3.051,0.0323,127.24799999999999,4,4
Caballos De Histeria,Lucybell,Lucybell,67MT6TA0UmanJIxZgKigAY,1998-01-01,35,284080,0.475,0.000248,0.623,0.35600000000000004,0.126,0.426,-9.137,0.0337,143.428,7,4
La Mosca,Cachureos 96,Cachureos,5yf7KwimprrLD0k9ERKo3B,1996-03-01,35,190323,0.8320000000000001,0.087,0.857,0.0043,0.636,0.882,-7.838999999999999,0.0417,122.58,10,4
