name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature
Aunque todo salió mal,No Soy Uno,Fother Muckers,32FZ8eZ0sK7GFeeOLN8bpY,2007-08-15,47,251973,0.6729999999999999,0.493,0.528,0.0162,0.239,0.8490000000000001,-9.121,0.0289,116.493,2,4
Amor Prohibido,Cosas Buenas,Quique Neira,78pKUhKbY7xKyPGIUSXfQ8,2006-01-01,47,278680,0.7040000000000001,0.213,0.7190000000000001,0.0,0.12300000000000001,0.669,-5.3229999999999995,0.0378,91.98299999999999,2,4
Háblame,Miedo Escénico,Beto Cuevas,0gPfjm3QFkEcPU2TaM7OaY,2008-09-23,47,306440,0.43,0.284,0.568,7.45e-05,0.10400000000000001,0.168,-8.097000000000001,0.0312,150.179,0,4
Humedad,Grandes Versiones,Javiera Parra,71JlWe6b281dzhGZVZS0Tc,2001-01-01,47,253360,0.336,0.0883,0.473,0.000875,0.16699999999999998,0.461,-6.606,0.0322,175.23,0,3
Mil caminos - En vivo,Sesion Futura (En vivo),Lucybell,7zZESEhPkn3qWqfsgcdiQT,2001-10-08,47,279786,0.58,0.00115,0.877,0.0242,0.622,0.6709999999999999,-9.005,0.0454,89.98299999999998,7,4
Millones,Almismotiempo,Camila Moreno,6EYVI4zwxzP3EnViyiI5x0,2009-11-19,47,222432,0.483,0.598,0.556,0.0,0.122,0.332,-5.388,0.0344,131.786,2,3
La Danza de las Libelulas,Pánico,Manuel García,6lprRdxqhlcmDxWozVPOFW,2005-04-10,47,228000,0.47100000000000003,0.8909999999999999,0.321,9.340000000000001e-05,0.11,0.251,-10.122,0.0324,122.426,5,4
Me Enamoré de Ti y Qué?,A Morir,Américo,2Nn6tpKuWG1KdGwhWc0BBf,2008-12-20,45,179853,0.7,0.20199999999999999,0.672,0.0,0.0879,0.884,-7.1579999999999995,0.0402,92.09100000000001,1,4
Tu sangre - En vivo,Sesion Futura (En vivo),Lucybell,2c46gT0mtHmmTEcjVVCHdH,2001-10-08,45,203360,0.446,0.00605,0.6579999999999999,2.02e-05,0.499,0.371,-7.966,0.0325,137.806,7,4
Ráptame del fin,Comiendo + Fuego (Special Edition),Lucybell,31PgkRlu7xToxA0PjHoMf7,2006-01-01,45,229813,0.48,0.235,0.616,0.0,0.15,0.583,-5.3629999999999995,0.0306,170.888,11,3
Give Your Love,Crece,Gondwana,6SCxbGzB7xJBPqkEvobpFf,2004-01-01,45,221839,0.8859999999999999,0.183,0.685,1.77e-05,0.155,0.772,-5.904,0.0628,101.538,1,4
Miéntele,Vida de Perros,Los Bunkers,3GISWjNRCtkaReipcMY7Fr,2007-03-21,45,238386,0.293,0.0044,0.95,0.0,0.102,0.34299999999999997,-3.4330000000000003,0.17300000000000001,206.977,7,4
Te vistes y te vas,Vida de perros,Los Bunkers,1KuSfroDgokWPIgybL3mFN,2005-01-01,45,210001,0.5770000000000001,0.00147,0.98,1.43e-06,0.0371,0.631,-3.7430000000000003,0.0502,107.661,2,4
Sentimento Original,RAS Portraits,Gondwana,221XD85dLV8jiMyrEz1JBQ,2003-06-03,45,290906,0.746,0.017,0.606,0.0,0.0835,0.6829999999999999,-8.863999999999997,0.0892,86.656,11,4
Samba Lando,Antologia: Grandes Exitos en Vivo en el Estadio Victor Jara,Inti-Illimani,2ra9LRRW3Sk6rEgaV0GbAm,2009-02-11,45,295666,0.596,0.268,0.6990000000000001,0.0,0.996,0.635,-7.324,0.0643,140.52100000000002,6,3
Ignorancia,Made In Jamaica,Gondwana,0TzxVKHY0tpICeGNQQ2RLf,2008-01-01,45,276826,0.731,0.00323,0.63,1.2e-06,0.309,0.9620000000000001,-6.867999999999999,0.0332,139.873,6,4
Bailar y Llorar,Bailar y Llorar,Teleradio Donoso,5WpAoK1u49GziJTqkzheL5,2008-09-01,45,229982,0.7290000000000001,0.00702,0.5720000000000001,0.11599999999999999,0.18,0.852,-7.362999999999999,0.0339,126.98100000000001,9,4
"Señora, Devuélvame la Pelota o Si No No Sé Lo Qué Haré - Pepe Lota",31 Minutos,31 Minutos,6sayfg53szOqM0AqS31OUI,2003-01-01,43,187000,0.748,0.863,0.484,0.00025699999999999996,0.10099999999999999,0.496,-7.598,0.11,118.194,1,4
Fe,Comiendo + Fuego (Special Edition),Lucybell,2a5eCWoqUyDzadBT8eqb32,2006-01-01,43,203773,0.546,0.125,0.8859999999999999,0.00996,0.0864,0.595,-4.495,0.0375,109.984,7,4
Lo Cierto,Almismotiempo,Camila Moreno,1kNd5W7vGFZDCJi796nnkt,2009-11-19,43,303564,0.442,0.606,0.406,0.000139,0.16899999999999998,0.192,-7.659,0.0268,96.105,8,3
31 Minutos,31 Minutos,31 Minutos,0tzQtbdH0GMEoCMPG1wGbP,2003-01-01,43,131013,0.456,0.0144,0.9109999999999999,0.9690000000000001,0.129,0.91,-7.1320000000000014,0.0377,165.007,2,4
Mr. Guantecillo - Hermanos Computadores de Paine,"31 Minutos, Ratoncitos",31 Minutos,2gKszD1ri5gGONhTuwil9A,2005-01-01,43,141026,0.65,0.473,0.872,0.0,0.5589999999999999,0.568,-5.814,0.28,139.151,9,4
Vuelvo,Miedo Escénico,Beto Cuevas,4tjzE4v2zxOnFG8vKB51wC,2008-09-23,43,253360,0.5429999999999999,0.00524,0.843,0.000154,0.239,0.4320000000000001,-6.068,0.0592,128.01,7,4
Imagino,Entre Lo Habitual y Lo Desconocido,Hordatoj,6VgZLeVNO3HAsEbYaEQdGy,2007-11-06,43,235693,0.705,0.0743,0.6759999999999999,0.000597,0.235,0.579,-5.19,0.163,102.079,10,4
Te enojai por todo,Delirio,Sinergia,2IuJewJSKaNZAF1FIihb64,2006-01-01,43,170933,0.7240000000000001,0.0354,0.871,0.0,0.0486,0.816,-6.23,0.0362,130.025,5,4
Corazones Rojos,Coleccion Suprema,Los Prisioneros,3xpWFwYKHxGy8Im3N3TOY0,2007-01-01,43,212546,0.774,0.00215,0.495,1.1e-05,0.0719,0.802,-10.261,0.158,92.204,2,4
Yo Opino - Joe Pino & The Maniacodepresivos,31 Minutos,31 Minutos,4WkzqkDVmahKJspGf7OUcc,2003-01-01,43,88346,0.953,0.18100000000000002,0.635,0.0,0.106,0.9670000000000001,-6.745,0.266,132.099,7,4
Dulce,Muérdete La Lengua (Edición Especial),Francisca Valenzuela,375fFsG02nH7OmeJrhbUQ7,2008-06-11,43,207840,0.581,0.341,0.6459999999999999,3.14e-05,0.213,0.48200000000000004,-6.5520000000000005,0.0288,119.84700000000001,2,4
El Mercado Testaccio,Antologia: Grandes Exitos en Vivo en el Estadio Victor Jara,Inti-Illimani,0D9KXItWSp0eZ3Ik8gn9wF,2009-02-11,43,251386,0.608,0.562,0.528,0.955,0.986,0.39799999999999996,-10.615,0.0305,128.618,4,4
Anaranjado - Mas Allá De La Ternura,Mas Alla De La Ternura,Los Changos,6gSV038YhbtaZ5IXPSQpzk,2006-10-01,43,252813,0.513,0.836,0.37799999999999995,0.0,0.113,0.33,-8.862,0.0418,137.832,9,3
Canción para mañana,La Culpa,Los Bunkers,36VJrVTuKwedxqftzsIXXU,2003-01-01,43,195133,0.17,0.0215,0.878,1.76e-05,0.217,0.43,-3.9339999999999997,0.0576,174.74,9,3
Hoy,Hoy,Nicole,786WvvBswhrMAuYGvwQlNO,2009-01-01,43,257773,0.281,0.115,0.7609999999999999,3.4e-05,0.0745,0.769,-7.775,0.0426,185.775,2,4
Pequeña Dama,Resiliente,Gondwana,4YPw9WEBa0xsfexCbXCTXo,2007-04-01,43,285986,0.643,0.127,0.525,0.000194,0.115,0.779,-9.762,0.0363,77.955,6,4
Cosecha de Mujeres,Plato Único Bailable,Chico Trujillo,1lMxEHxFMSbwr6nVxlzQ1G,2008-01-01,41,156520,0.408,0.17600000000000002,0.785,0.0,0.135,0.905,-6.485,0.135,200.547,9,4
Nada Quedará - 2004 Digital Remaster,Nada Quedará,La Sociedad,18yhfsV5Zl6JpRAQcCsSSn,2005-01-01,41,272996,0.62,0.0433,0.483,0.0,0.0652,0.19699999999999998,-10.360999999999999,0.0283,129.99200000000002,3,4
Tú,Nadha (US Version),Kudai,2mspQcxEj5oomOkcpMtrGB,2008-01-01,41,241152,0.579,0.0642,0.78,0.0,0.16399999999999998,0.564,-5.271,0.0324,142.003,2,4
La Exiliada del Sur,La Culpa,Los Bunkers,3PGZF0gfjPtACwNBAost0C,2003-01-01,41,252960,0.42200000000000004,0.0918,0.539,0.0,0.132,0.28600000000000003,-6.2410000000000005,0.033,111.79899999999999,6,3
En Reconocimiento,Soldados del Ghetto,Movimiento Original,3dBbYYfCbUMGACwnpe5GPg,2008-09-11,41,229092,0.716,0.193,0.634,0.0,0.389,0.8140000000000001,-6.01,0.048,88.03200000000002,2,4
Navegante,Gatti II,Eduardo Gatti,4FZPT1zY24aHVmcjS8TMTt,2008-08-16,41,217773,0.66,0.601,0.267,0.0,0.0946,0.609,-15.639000000000001,0.0401,124.773,11,4
La Innombrable,Julius Popper?,Julius Popper,2bgqavvPIeYdZCXUlSWvCw,2008-01-01,41,247693,0.483,0.00409,0.429,1.43e-06,0.0831,0.53,-9.42,0.0319,115.28399999999999,8,4
Miéntele,En Vivo,Los Bunkers,3ieNKkdXeUhc6jWPObzJNY,2006-01-01,41,255146,0.516,0.0608,0.9640000000000001,0.0,0.381,0.38799999999999996,-4.612,0.0443,105.691,7,4
Llueve sobre la ciudad,En Vivo,Los Bunkers,1K3GHo37yDLxNQIH30BES7,2006-01-01,41,236373,0.626,0.41100000000000003,0.643,0.0,0.9570000000000001,0.855,-6.907,0.0302,110.698,9,4
